id,hotel,puntaje,link_hotel,provincia
1,La Facha Hostal Restaurant Surf,8.4,https://www.booking.com/hotel/ec/la-facha-hostal-restaurant-surf.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
2,Hotel RC Tonsupa,8.6,https://www.booking.com/hotel/ec/rc-tonsupa.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
3,Hotel Oceanic Lodge,8.5,https://www.booking.com/hotel/ec/oceanic-lodge.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
4,Escapaditas a la Playa,8.7,https://www.booking.com/hotel/ec/escapaditas-a-la-playa.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
5,Resort Playa Azul Tonsupa Departamento de 2 Habitaciones,9.1,https://www.booking.com/hotel/ec/playa-azul-resort-tonsupa-atacames.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
6,"Hotel Casa Arnaldo ""Esmeraldas""",8.9,https://www.booking.com/hotel/ec/casa-arnaldo-esmeraldas.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
7,Olan´s Hotel Group,7.8,https://www.booking.com/hotel/ec/olans-group.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
8,Seaside Garden Ecolodge Mompiche,9.0,https://www.booking.com/hotel/ec/seaside-garden-lodge-mompiche.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
9,Hotel Soberao,8.4,https://www.booking.com/hotel/ec/soberao.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
10,Hotel Almond Beach,8.7,https://www.booking.com/hotel/ec/almond-beach.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
11,Aparthotel Oleaje,8.9,https://www.booking.com/hotel/ec/cabanas-oleaje.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
12,Hosteria Mar de Plata,8.4,https://www.booking.com/hotel/ec/hosteria-mar-de-plata.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
13,Hotel la Barca,8.8,https://www.booking.com/hotel/ec/la-barca.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
14,Hotel Kemarios,9.0,https://www.booking.com/hotel/ec/kemarios.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
15,Resort Playa Azul Departamentos frente al mar,9.3,https://www.booking.com/hotel/ec/resort-playa-azul.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
16,Hotel Makana Resort,8.4,https://www.booking.com/hotel/ec/makana.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
17,Departamento 4 habitaciones 12 personas vista al mar 8vo piso Playa Almendro,7.5,https://www.booking.com/hotel/ec/resort-playa-almendro-tonsupa-4-habitaciones.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
18,Hotel Cielo Azul,9.0,https://www.booking.com/hotel/ec/cielo-azul.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
19,Hotel Salduba,9.1,https://www.booking.com/hotel/ec/salduba-tonsupa.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
20,Hotel Andy,8.9,https://www.booking.com/hotel/ec/andy-atacames.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
21,Caramba Hospedaje,8.6,https://www.booking.com/hotel/ec/caramba-hospedaje.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
22,Cabañas Ecologicas Cayapas,8.8,https://www.booking.com/hotel/ec/hosteria-cayapas.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
23,Departamento Frente al Mar Diamond Beach,9.4,https://www.booking.com/hotel/ec/diamond-beach-tonsupa1234.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
24,Puerto Esperanza - Cabaplan,9.2,https://www.booking.com/hotel/ec/puerto-esperanza-cabaplan.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Esmeraldas
25,Hotel El Marqués,9.1,https://www.booking.com/hotel/ec/el-marques.en-gb.html?ucfs=1&arphpl=1&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=2890160598050098&srepoch=1674443276&from=searchresults#hotelTmpl,Esmeraldas
